,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,code,forename,surname,position_change
26698,26704,1141,807,210,27,17,\N,D,20,0.0,0,\N,\N,21,16,1:23.764,185.191,2,HUL,Nico,Hülkenberg,3
26719,26725,1143,830,9,1,2,1,1,1,25.0,57,1:31:05.323,5465323,55,2,1:22.905,235.310,1,VER,Max,Verstappen,-1
26720,26726,1143,844,6,16,5,2,2,2,18.0,57,+6.031,5471354,53,4,1:23.242,234.357,1,LEC,Charles,Leclerc,-3
26721,26727,1143,857,1,81,4,3,3,3,15.0,57,+6.819,5472142,51,3,1:23.218,234.425,1,PIA,Oscar,Piastri,-1
26722,26728,1143,847,131,63,1,4,4,4,12.0,57,+14.104,5479427,50,5,1:23.355,234.039,1,RUS,George,Russell,3
26723,26729,1143,842,214,10,11,5,5,5,10.0,57,+16.782,5482105,56,8,1:23.705,233.061,1,GAS,Pierre,Gasly,-6
26724,26730,1143,832,6,55,7,6,6,6,8.0,57,+17.476,5482799,52,6,1:23.465,233.731,1,SAI,Carlos,Sainz,-1
26725,26731,1143,4,117,14,8,7,7,7,6.0,57,+19.867,5485190,57,7,1:23.667,233.167,1,ALO,Fernando,Alonso,-1
26726,26732,1143,855,15,24,12,8,8,8,4.0,57,+25.360,5490683,57,10,1:23.889,232.550,1,ZHO,Guanyu,Zhou,-4
26727,26733,1143,825,210,20,10,9,9,9,2.0,57,+32.177,5497500,55,11,1:24.259,231.528,1,MAG,Kevin,Magnussen,-1
26728,26734,1143,846,1,4,3,10,10,10,2.0,57,+35.762,5501085,56,1,1:22.384,236.798,1,NOR,Lando,Norris,7
26729,26735,1143,822,15,77,13,11,11,11,0.0,57,+50.243,5515566,53,13,1:25.533,228.080,1,BOT,Valtteri,Bottas,-2
26730,26736,1143,1,131,44,6,12,12,12,0.0,57,+56.122,5521445,52,9,1:23.865,232.616,1,HAM,Lewis,Hamilton,6
26731,26737,1143,852,215,22,14,13,13,13,0.0,57,+1:01.100,5526423,47,17,1:26.144,226.462,1,TSU,Yuki,Tsunoda,-1
26732,26738,1143,859,215,30,17,14,14,14,0.0,57,+1:02.656,5527979,46,16,1:26.076,226.641,1,LAW,Liam,Lawson,-3
26733,26739,1143,848,3,23,16,15,15,15,0.0,56,\N,\N,47,14,1:25.559,228.011,11,ALB,Alexander,Albon,-1
26734,26740,1143,807,210,27,18,\N,R,16,0.0,39,\N,\N,33,15,1:25.767,227.458,20,HUL,Nico,Hülkenberg,-2
26735,26741,1143,815,9,11,9,\N,R,17,0.0,38,\N,\N,31,12,1:25.288,228.735,20,PER,Sergio,Pérez,8
26736,26742,1143,840,117,18,15,\N,R,18,0.0,8,\N,\N,6,18,1:30.935,214.531,130,STR,Lance,Stroll,3
26737,26743,1143,861,3,43,19,\N,R,19,0.0,0,\N,\N,\N,0,\N,\N,4,COL,Franco,Colapinto,0
26738,26744,1143,839,214,31,20,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4,OCO,Esteban,Ocon,0
